block_folder,block_id,render_wrapper_block_class,variant,reference_id,expected_wrapper_selector,selector_in_replacement_css,renderable_element_mapping,clone_status,culprit_fixed
tour-facts,tour_facts,igp-block--tour-facts,compact,04-journey-logistics.html#tour-facts:compact,.igp-block--tour-facts.igp-variant--compact,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
tour-facts,tour_facts,igp-block--tour-facts,icons,04-journey-logistics.html#tour-facts:icons,.igp-block--tour-facts.igp-variant--icons,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
trust,trust,igp-block--trust,default,01-foundation-conversion.html#trust:default,.igp-block--trust.igp-variant--default,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
trust,trust,igp-block--trust,logo-strip,01-foundation-conversion.html#trust:logo-strip,.igp-block--trust.igp-variant--logo-strip,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
trust,trust,igp-block--trust,testimonial-cards,01-foundation-conversion.html#trust:testimonial-cards,.igp-block--trust.igp-variant--testimonial-cards,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
trust,trust,igp-block--trust,stats,01-foundation-conversion.html#trust:stats,.igp-block--trust.igp-variant--stats,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
visa-requirements,visa_requirements,igp-block--visa-requirements,default,04-journey-logistics.html#visa-requirements:default,.igp-block--visa-requirements.igp-variant--default,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
visa-requirements,visa_requirements,igp-block--visa-requirements,checklist,04-journey-logistics.html#visa-requirements:checklist,.igp-block--visa-requirements.igp-variant--checklist,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
visa-requirements,visa_requirements,igp-block--visa-requirements,cards,04-journey-logistics.html#visa-requirements:cards,.igp-block--visa-requirements.igp-variant--cards,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
visa-requirements,visa_requirements,igp-block--visa-requirements,compact,04-journey-logistics.html#visa-requirements:compact,.igp-block--visa-requirements.igp-variant--compact,yes,igp-pro-* classes are mapped through inc/clone-adapter.php plus CSS clone bridge,bound,yes
