renderer_class,covered_by_css_or_clone_adapter,note
igp-pro-tabs__panel,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-tabs__panels,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-tabs__tab,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-text-link,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-tour-cards,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-tour-cards--,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-tour-facts,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-tour-facts__grid,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-tour-facts__icon,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-tour-facts__intro,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-tour-facts__item,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-tour-facts__note,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-tour-facts__value,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-trust,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-trust--,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-trust__avatar,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-trust__item,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-trust__items,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-trust__logo,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-trust__logos,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-trust__summary,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-visa-requirements,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-visa-requirements__applies,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-visa-requirements__documents,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-visa-requirements__intro,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-visa-requirements__item,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-visa-requirements__list,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-visa-requirements__note,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-pro-visa-requirements__status,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
igp-section-columns,yes,"styled directly, clone-mapped, or explicitly bound for audit; exact visual class mapping is handled in inc/clone-adapter.php and igp-travel-pro.css"
